DATE,Oil_price,GDP,Price_level,Maj_event,Interest_Rate,Reason for value 1
01/03/2004,33.79913043,13410.265,80.64533656,0,1,
01/04/2004,33.36272727,13461.711,80.66258477,0,1,
01/05/2004,37.74095238,13459.203,80.76319473,0,1,
01/06/2004,35.19272727,13511.799,80.91990186,0,1.03,
01/07/2004,38.37136364,13582.314,81.00165257,0,1.26,
01/08/2004,43.03090909,13503.093,81.10600606,0,1.43,
01/09/2004,43.38227273,13510.241,81.40789212,0,1.61,
01/10/2004,49.77047619,13496.747,81.49419627,0,1.76,
01/11/2004,43.055,13533.79,81.66748717,0,1.93,
01/12/2004,39.65608696,13617.925,81.74907336,0,2.16,
01/01/2005,44.28428571,13594.567,81.92201806,0,2.28,
01/02/2005,45.557,13662.194,82.054967,0,2.5,
01/03/2005,53.0726087,13602.004,82.15652772,0,2.63,
01/04/2005,51.85714286,13674.237,82.3244032,0,2.79,
01/05/2005,48.66636364,13689.691,82.3643172,0,3,
01/06/2005,54.30772727,13860.257,82.29027463,1,3.04,
01/07/2005,57.57904762,13894.275,82.53622171,1,3.26,
01/08/2005,64.12478261,13969.02,82.81258945,1,3.5,Katrina
01/09/2005,62.98227273,14048.103,83.02964562,0,3.62,
01/10/2005,58.52238095,14064.863,83.1835794,0,3.78,
01/11/2005,55.53590909,14145.624,83.31364439,0,4,
01/12/2005,56.71227273,14184.493,83.41370251,0,4.16,
01/01/2006,63.36136364,14100.16,83.7331248,0,4.29,
01/02/2006,59.9235,14225.367,83.84213592,0,4.49,
01/03/2006,62.25391304,14312.269,84.10255692,0,4.59,
01/04/2006,70.4325,14267.608,84.35831774,0,4.79,
01/05/2006,70.26695652,14398.385,84.55925251,0,4.94,
01/06/2006,68.85772727,14303.914,84.78353617,0,4.99,
01/07/2006,73.89809524,14428.047,85.11190685,0,5.24,
01/08/2006,73.61217391,14464.576,85.0346664,0,5.25,
01/09/2006,62.77285714,14481.746,85.18330746,0,5.25,
01/10/2006,58.38181818,14581.534,85.52998398,0,5.25,
01/11/2006,58.48409091,14590.221,85.77381005,0,5.25,
01/12/2006,62.27047619,14645.903,85.99995652,0,5.24,
01/01/2007,54.55391304,14776.306,86.28074443,0,5.25,
01/02/2007,57.7585,14750.381,86.44153411,0,5.26,
01/03/2007,62.14363636,14777.763,86.63216058,0,5.26,
01/04/2007,67.5047619,14809.88,86.81585686,0,5.25,
01/05/2007,67.47652174,14779.238,87.1725151,0,5.25,
01/06/2007,71.31714286,14930.786,87.25066572,0,5.25,
01/07/2007,77.205,14945.355,87.62649544,0,5.26,
01/08/2007,70.79695652,14981.474,87.79360625,0,5.02,
01/09/2007,77.1285,14942.851,88.19641307,0,4.94,
01/10/2007,82.83173913,14962.401,88.45165732,1,4.76,
01/11/2007,92.52818182,14997.203,88.68010502,1,4.49,
01/12/2007,91.52904762,15164.832,88.61677585,1,4.24,Turkish geopolitical tensions
01/01/2008,92.00652174,15214.282,88.85520299,1,3.94,
01/02/2008,94.81857143,15195.266,89.28923087,0,2.98,
01/03/2008,103.1228571,15323.335,89.47831913,1,2.61,OPEC anti-US cut 
01/04/2008,110.1886364,15239.797,89.85894336,1,2.28,
01/05/2008,123.4945455,15312.725,90.00767355,1,1.98,
01/06/2008,133.0485714,15292.725,90.12994581,1,2,
01/07/2008,133.8991304,15245.141,90.46831829,1,2.01,
01/08/2008,113.8504762,15303.798,90.72596539,0,2,
01/09/2008,99.06454545,15365.389,90.68448004,0,1.81,
01/10/2008,72.8426087,15367.729,90.88136299,0,0.97,
01/11/2008,53.2415,15476.482,90.84871215,0,0.39,
01/12/2008,41.25304348,15457.501,91.16669937,0,0.16,
01/01/2009,44.71909091,15444.551,91.52334324,1,0.15,Gaza tensions
01/02/2009,43.2425,15546.384,91.8944794,0,0.22,
01/03/2009,46.83909091,15446.628,92.0933415,0,0.18,
01/04/2009,50.98318182,15575.686,92.2133881,0,0.15,
01/05/2009,57.94142857,15570.025,92.49198895,0,0.18,
01/06/2009,68.61681818,15588.144,92.64959693,0,0.21,
01/07/2009,64.91,15537.655,92.82820558,0,0.16,
01/08/2009,72.5047619,15722.348,92.86738744,0,0.16,
01/09/2009,67.68727273,15755.248,93.09971925,0,0.15,
01/10/2009,73.19409091,15733.873,93.20621428,0,0.12,
01/11/2009,77.03666667,15758.801,93.3723053,0,0.12,
01/12/2009,74.7,15809.22,93.400372,0,0.12,
01/01/2010,76.41238095,15842.539,93.42989986,0,0.11,
01/02/2010,74.312,15621.394,93.63769933,0,0.13,
01/03/2010,79.27478261,15645.301,93.89676497,0,0.16,
01/04/2010,84.92863636,15695.029,94.0301302,0,0.2,
01/05/2010,76.25095238,15735.256,94.07113418,0,0.2,
01/06/2010,74.83818182,15947.923,94.28634197,0,0.18,
